INFO  - 2014-11-07 15:58:31.406; org.apache.solr.spelling.suggest.SolrSuggester; Dictionary loaded with params: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2014-11-07 15:58:31.408; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /apps/biodiv/solr/wikwio/conf/elevate.xml
INFO  - 2014-11-07 15:58:31.442; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2014-11-07 15:58:31.443; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@45459e10[wikwio] main{StandardDirectoryReader(segments_ai:910:nrt _bc(4.10.0):C2913 _bd(4.10.0):C1 _bf(4.10.0):C1)}
INFO  - 2014-11-07 15:58:31.509; org.apache.solr.core.SolrCore; [wikwio] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=173 status=0 QTime=65 
INFO  - 2014-11-07 15:58:31.566; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2014-11-07 15:58:31.567; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2014-11-07 15:58:31.567; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2014-11-07 15:58:31.567; org.apache.solr.handler.component.SuggestComponent$SuggesterListener; Loading suggester index for: mySuggester
INFO  - 2014-11-07 15:58:31.568; org.apache.solr.spelling.suggest.SolrSuggester; reload()
INFO  - 2014-11-07 15:58:31.568; org.apache.solr.spelling.suggest.SolrSuggester; build()
INFO  - 2014-11-07 15:58:31.756; org.apache.solr.core.SolrCore; [wikwio] Registered new searcher Searcher@45459e10[wikwio] main{StandardDirectoryReader(segments_ai:910:nrt _bc(4.10.0):C2913 _bd(4.10.0):C1 _bf(4.10.0):C1)}
INFO  - 2014-11-07 15:58:31.759; org.apache.solr.core.CoreContainer; registering core: wikwio
INFO  - 2014-11-07 15:58:31.761; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/apps/biodiv/solr/biodiv/conf
INFO  - 2014-11-07 15:58:31.761; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
WARN  - 2014-11-07 15:58:32.621; org.geotools.util.logging.Log4JLogger; No log4jConfigFile defined in services.xml:  using 'DEFAULT_LOGGING.properties'
INFO  - 2014-11-07 16:01:33.500; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=1700142326
INFO  - 2014-11-07 16:01:33.501; org.apache.solr.core.SolrCore; [wikwio]  CLOSING SolrCore org.apache.solr.core.SolrCore@70ee7f14
INFO  - 2014-11-07 16:01:33.506; org.apache.solr.update.DirectUpdateHandler2; closing DirectUpdateHandler2{commits=0,autocommit maxTime=15000ms,autocommits=0,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=0,cumulative_deletesById=0,cumulative_deletesByQuery=0,cumulative_errors=0,transaction_logs_total_size=368186,transaction_logs_total_number=10}
INFO  - 2014-11-07 16:01:33.506; org.apache.solr.update.SolrCoreState; Closing SolrCoreState
INFO  - 2014-11-07 16:01:33.506; org.apache.solr.update.DefaultSolrCoreState; SolrCoreState ref count has reached 0 - closing IndexWriter
INFO  - 2014-11-07 16:01:33.506; org.apache.solr.update.DefaultSolrCoreState; closing IndexWriter with IndexWriterCloser
INFO  - 2014-11-07 16:01:33.512; org.apache.solr.core.SolrCore; [wikwio] Closing main searcher on request.
INFO  - 2014-11-07 16:01:33.514; org.apache.solr.core.CachingDirectoryFactory; Closing NRTCachingDirectoryFactory - 2 directories currently being tracked
INFO  - 2014-11-07 16:01:33.514; org.apache.solr.core.CachingDirectoryFactory; looking to close /apps/biodiv/solr/wikwio/data [CachedDir<<refCount=0;path=/apps/biodiv/solr/wikwio/data;done=false>>]
INFO  - 2014-11-07 16:01:33.514; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /apps/biodiv/solr/wikwio/data
INFO  - 2014-11-07 16:01:33.514; org.apache.solr.core.CachingDirectoryFactory; looking to close /apps/biodiv/solr/wikwio/data/index [CachedDir<<refCount=0;path=/apps/biodiv/solr/wikwio/data/index;done=false>>]
INFO  - 2014-11-07 16:01:33.515; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /apps/biodiv/solr/wikwio/data/index
